time_day,sp,numbr,P_MPa,nomID,stemID,k_g_s_MPa,r2,Pleaf_MPa,ver,leaf_area_cm2
81.56994474,ceol,42,0,ceol 42 0 MPa,ceol 42,0.002765125,1,-0.294,v18,91.002
81.58303255,ceol,19,0,ceol 19 0 MPa,ceol 19,0.00768469,NA,-0.306,v18,66.703
81.59613589,ceol,15,0,ceol 15 0 MPa,ceol 15,0.001365028,NA,-0.135,v18,48.596
81.60385586,ceol,9,0,ceol 9 0 MPa,ceol 9,0.000206163,NA,-0.413,v18,33.938
81.61525859,ceol,2,0,ceol 2 0 MPa,ceol 2,0.000255328,NA,-0.389,v18,76.894
81.63556359,ceol,3,0,ceol 3 0 MPa,ceol 3,0.000494192,NA,-0.984,v18,37.253
81.64152491,ceol,35,0,ceol 35 0 MPa,ceol 35,0.000247061,NA,-0.904,v18,37.253
81.65407785,ceol,30,0,ceol 30 0 MPa,ceol 30,0.000351955,NA,-0.292,v18,76.215
81.65994549,ceol,26,0,ceol 26 0 MPa,ceol 26,0.001702498,NA,-0.052,v18,39.272
81.67563903,ceol,24,0,ceol 24 0 MPa,ceol 24,0.00479206,NA,-0.225,v18,75.874
